Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
"Senior Human Resources Business Partner, Southern Region",,,Permanent contract,,No remote work,,25,1 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-southern-region_miami_HERMS_j07PXDm
Quantum business operation Internship,,,Quantum business operation Internship,,No remote work,,140,1 days ago,https://www.welcometothejungle.com/en/companies/alice-bob/jobs/business-development-intern_boston
US Business Developer - Renewable Energy SaaS,,,,,,,20,3 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/us-based-business-developer_paris
IT Business Services Intern (2026 Semester 1) - Generation H,,,Internship,,,,25,7 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/it-business-services-intern-2026-semester-1-generation-h_new-york_HERMS_Vwd21Yq
"Director - Human Resources Business Partner, West Region",,,Permanent contract,,,,25,9 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/director-human-resources-business-partner-west-region_beverly-hills_HERMS_XQGL0D7
Enterprise Business Development Representative,,,Permanent contract,,No remote work,,200,12 days ago,https://www.welcometothejungle.com/en/companies/datadome/jobs/enterprise-business-development-representative_new-york_DATAD_1pVqee8
Business Development Representative,,,Permanent contract,,,,950,15 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/business-development-representative_austin
"Head of Business Development, North America",,,Permanent contract,,,,1,21 days ago,https://www.welcometothejungle.com/en/companies/kraken/jobs/head-of-business-development_new-york
Business Value Consultant,,,Permanent contract,,,,750,23 days ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/business-value-consultant_boston_MIRAK_eYxOGYq
"Legal Tech Associate, IP & Licensing Business",,,Permanent contract,,No remote work,,280,2 months ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/legal-tech-associate-ip-licensing-business_palo-alto
Business Transformation Senior Advisor,,,Permanent contract,,Fully-remote,,1,2 months ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/business-transformation-senior-advisor_new-york
Business Development Representative,,,Permanent contract,,,,750,2 months ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/business-development-representative_boston_MIRAK_J68Kg14
US Analyst Summer Internship - Energy and Real Assets,,,US Analyst Summer Internship - Energy and Real Assets,,,,10,3 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-summer-internship-energy-and-real-assets_new-york
"Client Development Manager, Women's Ready-to-Wear",,,Permanent contract,,,,25,8 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-women-s-ready-to-wear_beverly-hills_HERMS_N6rZZOo
Senior Director - Client Development,,,Permanent contract,,,,25,14 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-director-client-development_new-york_HERMS_wJVwz7V
Enterprise BDR,,,Permanent contract,,No remote work,,1,14 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/enterprise-bdr_new-york
"Client Development Manager - East Coast, MRTW & MTM",,,Permanent contract,,,,25,15 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-east-coast-mrtw-mtm_manhattan_HERMS_x9qxyk1
OEM Trade Parts BDM,,,Permanent contract,,,,420,14 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/oem-trade-parts-bdm_dallas
FSR+ Coach,,,Permanent contract,,,,420,18 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_port
BDR Ecosystem Specialist - US East Coast,,,Permanent contract,,No remote work,,128,18 days ago,https://www.welcometothejungle.com/en/companies/reveal/jobs/bdr-ecosystem-specialist-us-east-coast_philadelphia
"Senior Director, Partnerships (Commercial)",,,Permanent contract,,,,700,26 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-partnerships-commercial_new-york
"Senior Director, DSP Commercial Partnerships",,,Permanent contract,,,,700,26 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-dsp-commercial-partnerships_new-york
US Artists Coach - Groover Club (Freelance),,,,,Fully-remote,,35,24 days ago,https://www.welcometothejungle.com/en/companies/groover/jobs/us-artists-coach-groover-club-freelance_new-york
Corporate Actions Analyst,,,Permanent contract,,,,10,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/corporate-actions-analyst_woodbridge-township
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 LAON,,,,,,,21,1 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-laon_laon_AXA_x3YPd6w
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 Château Thierry,,,,,,,21,1 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-chateau-thierry_laon_AXA_ozozJy5
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 LAON,,,,,,,21,1 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-laon_laon
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 SOISSONS,,,,,,,21,1 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-soissons_laon
Internal Controller,,,Permanent contract,,,,25,1 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/internal-controller_manhattan_HERMS_g5wKgMw
Accounts Payable Coordinator,,,Permanent contract,,,,25,1 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/accounts-payable-coordinator_manhattan_HERMS_r2jMRXd
